Timestamp,Turbine_ID,Wind_Speed,Power_Output,Temperature,Downtime
2025-06-01 00:00:00,T1,14.18,28.51,28.3,0
2025-06-01 00:00:00,T2,9.0,7.29,33.0,0
2025-06-01 00:00:00,T3,20.67,88.31,33.4,0
2025-06-01 00:00:00,T4,7.73,4.62,24.2,0
2025-06-01 00:00:00,T5,3.96,0.62,36.2,0
2025-06-01 01:00:00,T1,22.57,114.97,15.2,5
2025-06-01 01:00:00,T2,16.7,46.57,36.4,0
2025-06-01 01:00:00,T3,14.74,32.03,42.0,0
2025-06-01 01:00:00,T4,22.17,108.97,18.3,0
2025-06-01 01:00:00,T5,14.31,29.3,29.8,5
2025-06-01 02:00:00,T1,17.64,54.89,20.2,0
2025-06-01 02:00:00,T2,8.42,5.97,30.4,0
2025-06-01 02:00:00,T3,7.62,4.42,26.8,15
2025-06-01 02:00:00,T4,13.1,22.48,18.8,0
2025-06-01 02:00:00,T5,8.78,6.77,28.2,0
2025-06-01 03:00:00,T1,12.99,21.92,28.0,0
2025-06-01 03:00:00,T2,11.56,15.45,35.9,5
2025-06-01 03:00:00,T3,7.14,3.64,26.0,0
2025-06-01 03:00:00,T4,17.48,53.41,16.7,0
2025-06-01 03:00:00,T5,19.63,75.64,21.3,0
2025-06-01 04:00:00,T1,15.99,40.88,17.4,0
2025-06-01 04:00:00,T2,11.7,16.02,30.7,0
2025-06-01 04:00:00,T3,18.18,60.09,36.2,0
2025-06-01 04:00:00,T4,13.46,24.39,22.2,5
2025-06-01 04:00:00,T5,18.39,62.19,42.1,0
2025-06-01 05:00:00,T1,18.25,60.78,40.2,0
2025-06-01 05:00:00,T2,23.98,137.89,25.9,0
2025-06-01 05:00:00,T3,18.24,60.68,31.5,0
2025-06-01 05:00:00,T4,17.46,53.23,26.2,0
2025-06-01 05:00:00,T5,6.71,3.02,21.4,0
2025-06-01 06:00:00,T1,21.44,98.55,20.1,0
2025-06-01 06:00:00,T2,15.86,39.89,40.1,0
2025-06-01 06:00:00,T3,15.3,35.82,22.2,0
2025-06-01 06:00:00,T4,18.22,60.48,39.6,0
2025-06-01 06:00:00,T5,8.86,6.96,28.9,0
2025-06-01 07:00:00,T1,14.38,29.74,29.4,0
2025-06-01 07:00:00,T2,11.24,14.2,15.5,0
2025-06-01 07:00:00,T3,13.64,25.38,36.4,0
2025-06-01 07:00:00,T4,4.48,0.9,31.4,0
2025-06-01 07:00:00,T5,16.26,42.99,36.5,0
2025-06-01 08:00:00,T1,6.52,2.77,24.0,0
2025-06-01 08:00:00,T2,8.26,5.64,39.7,10
2025-06-01 08:00:00,T3,12.19,18.11,27.0,0
2025-06-01 08:00:00,T4,14.45,30.17,19.1,0
2025-06-01 08:00:00,T5,22.59,115.28,30.1,0
2025-06-01 09:00:00,T1,9.68,9.07,44.2,0
2025-06-01 09:00:00,T2,20.37,84.52,32.5,0
2025-06-01 09:00:00,T3,21.33,97.04,34.4,0
2025-06-01 09:00:00,T4,6.67,2.97,35.0,0
2025-06-01 09:00:00,T5,22.41,112.54,31.9,0
2025-06-01 10:00:00,T1,5.8,1.95,24.8,0
2025-06-01 10:00:00,T2,7.08,3.55,44.4,0
2025-06-01 10:00:00,T3,20.63,87.8,37.3,0
2025-06-01 10:00:00,T4,9.91,9.73,28.5,0
2025-06-01 10:00:00,T5,15.96,40.65,35.9,0
2025-06-01 11:00:00,T1,24.2,141.72,28.8,5
2025-06-01 11:00:00,T2,16.02,41.11,24.6,10
2025-06-01 11:00:00,T3,17.8,56.4,35.2,5
2025-06-01 11:00:00,T4,9.55,8.71,35.4,0
2025-06-01 11:00:00,T5,10.8,12.6,32.3,0
2025-06-01 12:00:00,T1,6.02,2.18,25.9,0
2025-06-01 12:00:00,T2,11.47,15.09,29.7,5
2025-06-01 12:00:00,T3,12.86,21.27,34.6,0
2025-06-01 12:00:00,T4,24.61,149.05,32.8,0
2025-06-01 12:00:00,T5,13.97,27.26,17.7,0
2025-06-01 13:00:00,T1,11.94,17.02,26.2,0
2025-06-01 13:00:00,T2,16.87,48.01,44.3,0
2025-06-01 13:00:00,T3,15.89,40.12,38.5,0
2025-06-01 13:00:00,T4,16.16,42.2,29.1,0
2025-06-01 13:00:00,T5,18.03,58.61,29.7,0
2025-06-01 14:00:00,T1,17.49,53.5,23.1,0
2025-06-01 14:00:00,T2,23.7,133.12,40.8,0
2025-06-01 14:00:00,T3,8.84,6.91,16.8,0
2025-06-01 14:00:00,T4,18.03,58.61,15.3,0
2025-06-01 14:00:00,T5,23.24,125.52,30.6,0
2025-06-01 15:00:00,T1,11.49,15.17,16.7,0
2025-06-01 15:00:00,T2,21.4,98.0,34.9,5
2025-06-01 15:00:00,T3,18.26,60.88,22.3,0
2025-06-01 15:00:00,T4,24.13,140.5,18.4,5
2025-06-01 15:00:00,T5,16.59,45.66,41.1,0
2025-06-01 16:00:00,T1,6.71,3.02,25.0,0
2025-06-01 16:00:00,T2,9.04,7.39,44.9,0
2025-06-01 16:00:00,T3,15.22,35.26,15.8,0
2025-06-01 16:00:00,T4,3.07,0.29,22.3,0
2025-06-01 16:00:00,T5,23.14,123.91,39.2,0
2025-06-01 17:00:00,T1,19.35,72.45,40.7,0
2025-06-01 17:00:00,T2,11.2,14.05,25.0,0
2025-06-01 17:00:00,T3,7.83,4.8,17.9,0
2025-06-01 17:00:00,T4,3.39,0.39,37.3,10
2025-06-01 17:00:00,T5,8.04,5.2,43.3,0
2025-06-01 18:00:00,T1,4.1,0.69,41.0,0
2025-06-01 18:00:00,T2,21.28,96.36,36.9,0
2025-06-01 18:00:00,T3,12.57,19.86,29.5,0
2025-06-01 18:00:00,T4,7.64,4.46,40.7,0
2025-06-01 18:00:00,T5,8.55,6.25,30.6,0
2025-06-01 19:00:00,T1,13.94,27.09,43.2,0
2025-06-01 19:00:00,T2,19.27,71.56,44.6,0
2025-06-01 19:00:00,T3,4.33,0.81,27.0,0
2025-06-01 19:00:00,T4,21.32,96.91,40.0,0
2025-06-01 19:00:00,T5,3.26,0.35,23.9,0
2025-06-01 20:00:00,T1,18.05,58.81,19.6,0
2025-06-01 20:00:00,T2,18.96,68.16,20.4,0
2025-06-01 20:00:00,T3,22.32,111.19,42.5,0
2025-06-01 20:00:00,T4,23.18,124.55,16.9,5
2025-06-01 20:00:00,T5,6.71,3.02,21.3,0
2025-06-01 21:00:00,T1,18.01,58.42,30.1,0
2025-06-01 21:00:00,T2,19.47,73.81,24.9,0
2025-06-01 21:00:00,T3,18.09,59.2,19.4,0
2025-06-01 21:00:00,T4,20.12,81.45,25.8,0
2025-06-01 21:00:00,T5,6.98,3.4,29.2,0
2025-06-01 22:00:00,T1,6.8,3.14,44.0,5
2025-06-01 22:00:00,T2,17.28,51.6,30.7,0
2025-06-01 22:00:00,T3,5.76,1.91,15.5,0
2025-06-01 22:00:00,T4,4.28,0.78,37.7,0
2025-06-01 22:00:00,T5,22.35,111.64,40.1,0
2025-06-01 23:00:00,T1,5.48,1.65,27.5,0
2025-06-01 23:00:00,T2,8.82,6.86,32.1,10
2025-06-01 23:00:00,T3,22.98,121.35,17.8,0
2025-06-01 23:00:00,T4,4.32,0.81,44.8,15
2025-06-01 23:00:00,T5,6.56,2.82,18.6,0
2025-06-02 00:00:00,T1,6.66,2.95,24.7,0
2025-06-02 00:00:00,T2,22.35,111.64,30.6,0
2025-06-02 00:00:00,T3,12.53,19.67,40.5,0
