Timestamp,Turbine_ID,Wind_Speed,Power_Output,Temperature,Downtime,Date,Hour,Weekday,Prev_Output,Drop_%
2025-06-01 00:00:00,T1,14.18,28.51,28.3,0,2025-06-01,0,Sunday,,
2025-06-01 01:00:00,T1,22.57,114.97,15.2,5,2025-06-01,1,Sunday,28.51,-303.26201332865656
2025-06-01 02:00:00,T1,17.64,54.89,20.2,0,2025-06-01,2,Sunday,114.97,52.25711055057841
2025-06-01 03:00:00,T1,12.99,21.92,28.0,0,2025-06-01,3,Sunday,54.89,60.065585716888314
2025-06-01 04:00:00,T1,15.99,40.88,17.4,0,2025-06-01,4,Sunday,21.92,-86.4963503649635
2025-06-01 05:00:00,T1,18.25,60.78,40.2,0,2025-06-01,5,Sunday,40.88,-48.67906066536203
2025-06-01 06:00:00,T1,21.44,98.55,20.1,0,2025-06-01,6,Sunday,60.78,-62.142152023692
2025-06-01 07:00:00,T1,14.38,29.74,29.4,0,2025-06-01,7,Sunday,98.55,69.82242516489092
2025-06-01 08:00:00,T1,6.52,2.77,24.0,0,2025-06-01,8,Sunday,29.74,90.68594485541358
2025-06-01 09:00:00,T1,9.68,9.07,44.2,0,2025-06-01,9,Sunday,2.77,-227.4368231046932
2025-06-01 10:00:00,T1,5.8,1.95,24.8,0,2025-06-01,10,Sunday,9.07,78.50055126791621
2025-06-01 11:00:00,T1,24.2,141.72,28.8,5,2025-06-01,11,Sunday,1.95,-7167.6923076923085
2025-06-01 12:00:00,T1,6.02,2.18,25.9,0,2025-06-01,12,Sunday,141.72,98.461755574372
2025-06-01 13:00:00,T1,11.94,17.02,26.2,0,2025-06-01,13,Sunday,2.18,-680.7339449541284
2025-06-01 14:00:00,T1,17.49,53.5,23.1,0,2025-06-01,14,Sunday,17.02,-214.33607520564047
2025-06-01 15:00:00,T1,11.49,15.17,16.7,0,2025-06-01,15,Sunday,53.5,71.64485981308411
2025-06-01 16:00:00,T1,6.71,3.02,25.0,0,2025-06-01,16,Sunday,15.17,80.09228740936058
2025-06-01 17:00:00,T1,19.35,72.45,40.7,0,2025-06-01,17,Sunday,3.02,-2299.0066225165565
2025-06-01 18:00:00,T1,4.1,0.69,41.0,0,2025-06-01,18,Sunday,72.45,99.04761904761905
2025-06-01 19:00:00,T1,13.94,27.09,43.2,0,2025-06-01,19,Sunday,0.69,-3826.086956521739
2025-06-01 20:00:00,T1,18.05,58.81,19.6,0,2025-06-01,20,Sunday,27.09,-117.09117755629383
2025-06-01 21:00:00,T1,18.01,58.42,30.1,0,2025-06-01,21,Sunday,58.81,0.6631525250807695
2025-06-01 22:00:00,T1,6.8,3.14,44.0,5,2025-06-01,22,Sunday,58.42,94.62512838069155
2025-06-01 23:00:00,T1,5.48,1.65,27.5,0,2025-06-01,23,Sunday,3.14,47.45222929936306
2025-06-02 00:00:00,T1,6.66,2.95,24.7,0,2025-06-02,0,Monday,1.65,-78.78787878787881
2025-06-02 01:00:00,T1,8.43,5.99,28.1,0,2025-06-02,1,Monday,2.95,-103.05084745762711
2025-06-02 02:00:00,T1,7.2,3.73,22.7,0,2025-06-02,2,Monday,5.99,37.729549248747915
2025-06-02 03:00:00,T1,10.08,10.24,27.3,0,2025-06-02,3,Monday,3.73,-174.53083109919572
2025-06-02 04:00:00,T1,15.68,38.55,45.0,0,2025-06-02,4,Monday,10.24,-276.46484374999994
2025-06-02 05:00:00,T1,12.63,20.15,34.4,0,2025-06-02,5,Monday,38.55,47.73022049286641
2025-06-02 06:00:00,T1,5.18,1.39,17.4,0,2025-06-02,6,Monday,20.15,93.10173697270471
